20230501	16:45:39	9b50e036-acbb-41fb-8a05-a5c43dbe0b5e	GET	undefined	/states/ks/funfact
20230501	16:45:48	85abfd1b-4969-428e-a498-db5525660896	GET	undefined	/states/az/funfact
20230501	16:47:10	057a86fc-4384-43c7-8200-a361b7b3804b	GET	undefined	/states/az/funfact
20230501	16:47:27	e1e1d091-025a-44f5-bc03-45e4a145a0b5	GET	undefined	/states/az/funfact
20230501	17:00:39	b1f0960b-eabc-4815-a4e8-c508b11c800f	GET	undefined	/states/az/funfact
20230501	17:00:50	b4dee59c-7083-47ed-bef5-0f6386a3c195	GET	undefined	/states/az/funfact
20230501	17:01:19	c7da48be-7d8e-4724-bc7c-fba1072253b3	GET	undefined	/states/az/funfact
20230501	17:01:34	3f81e9b8-2ec8-4599-afc5-0ea59a3ed23d	GET	undefined	/states/az/funfact
20230501	17:02:16	c75af5a5-a379-45b9-bcaf-b15d245bbe71	GET	undefined	/states/ks/funfact
20230501	17:02:52	5564c9f3-2d2a-4742-9828-0f25ef0a6c6d	GET	undefined	/states/az/funfact
20230501	17:03:38	2879374a-fa4c-4a37-959f-8ad501a7f68f	GET	undefined	/states/az/funfact
20230501	17:04:50	3772c1b1-150e-4207-9f18-c9ce803055a9	GET	undefined	/states/az/funfact
20230501	17:04:55	284399f1-6bf8-46bd-8639-5e68f9e8e48a	GET	undefined	/states/ks/funfact
20230501	17:05:35	515fefa6-03d4-4d1d-8821-5b437837fd32	GET	undefined	/states/hi/funfact
20230501	17:05:45	5afc5310-2995-4c41-b336-1021e45d1e62	GET	undefined	/states/hi
